gene1	gene2
SL010520	SL004698
SL004636	SL004698
SL000582	SL004698
SL005225	SL004698
SL004865	SL004698
SL011049	SL004698
SL005491	SL004698
SL004720	SL004698
SL003919	SL004698
SL000588	SL004698
SL007022	SL004698
SL013570	SL004698
SL014029	SL004698
SL004908	SL004698
SL007871	SL004698
SL004925	SL004698
SL002522	SL004698
SL005730	SL004698
SL016566	SL004698
SL010488	SL004698
SL007295	SL004698
SL003648	SL017612
SL000337	SL017612
SL000528	SL017612
SL000409	SL017612
SL004306	SL017612
SL010616	SL017612
SL010515	SL017612
SL011073	SL017612
SL003179	SL017612
SL008102	SL017612
SL008039	SL017612
SL000539	SL017612
SL011535	SL017612
SL003655	SL017612
SL004812	SL017612
SL004940	SL017612
SL004070	SL017612
SL006920	SL017612
SL004891	SL017612
SL013548	SL004147
SL006923	SL004148
SL000057	SL004148
SL000139	SL004148
SL000480	SL004149
SL003648	SL003307
SL000136	SL003307
SL001802	SL003307
SL005194	SL003307
SL000420	SL003307
SL010393	SL003307
SL000342	SL003307
SL004919	SL003307
SL005630	SL003307
SL006919	SL003307
SL011529	SL003307
SL011630	SL003307
SL008157	SL003307
SL005685	SL003307
SL005687	SL003307
SL010927	SL003307
SL011709	SL003307
SL004921	SL003307
SL007003	SL003307
SL004334	SL003307
SL004348	SL003307
SL010830	SL003307
SL004866	SL003307
SL009792	SL003307
SL016550	SL003307
SL013928	SL003307
SL000530	SL000509
SL005178	SL000509
SL003176	SL000509
SL008008	SL000509
SL004856	SL000509
SL005193	SL000509
SL008956	SL000509
SL003916	SL000509
SL000158	SL000509
SL006542	SL000509
SL007560	SL000509
SL010490	SL000509
SL004636	SL000509
SL001797	SL000509
SL004865	SL000509
SL011049	SL000509
SL004845	SL000509
SL008909	SL000509
SL006805	SL000509
SL004804	SL000509
SL005491	SL000509
SL010381	SL000509
SL004720	SL000509
SL007471	SL000509
SL003919	SL000509
SL000481	SL000509
SL013570	SL000509
SL004908	SL000509
SL010519	SL000509
SL007871	SL000509
SL005730	SL000509
SL016566	SL000509
SL016555	SL000509
SL010488	SL000509
SL014470	SL000509
SL007295	SL000509
SL005764	SL004579
SL008609	SL004153
SL005764	SL004153
SL005209	SL004153
SL010369	SL004637
SL010517	SL004637
SL003104	SL004637
SL003655	SL004760
SL004812	SL004760
SL013240	SL004760
SL016555	SL004183
SL010500	SL000551
SL006917	SL000551
SL006913	SL000551
SL017611	SL000551
SL006088	SL000551
SL005793	SL000551
SL000553	SL000551
SL004230	SL000557
SL001721	SL000557
SL005226	SL000557
SL003332	SL000557
SL000007	SL000557
SL000658	SL000557
SL010461	SL000557
SL000104	SL000557
SL000408	SL000557
SL000089	SL000557
SL004864	SL000557
SL000645	SL000557
SL000517	SL000557
SL002093	SL000557
SL004349	SL000557
SL007024	SL000557
SL000337	SL003648
SL000605	SL003648
SL000136	SL003648
SL001802	SL003648
SL005194	SL003648
SL010513	SL003648
SL000342	SL003648
SL008102	SL003648
SL004919	SL003648
SL005630	SL003648
SL008157	SL003648
SL005685	SL003648
SL010927	SL003648
SL011709	SL003648
SL008143	SL003648
SL008039	SL003648
SL004921	SL003648
SL003655	SL003648
SL004812	SL003648
SL004334	SL003648
SL004070	SL003648
SL010830	SL003648
SL004866	SL003648
SL016550	SL003648
SL013928	SL003648
SL004724	SL003178
SL000480	SL003178
SL005170	SL003178
SL005205	SL003178
SL006992	SL003178
SL014093	SL003178
SL001721	SL004230
SL005226	SL004230
SL003332	SL004230
SL000007	SL004230
SL000658	SL004230
SL004864	SL004230
SL007024	SL004230
SL001800	SL001992
SL002644	SL004639
SL005153	SL004639
SL004855	SL004639
SL008773	SL004639
SL010464	SL004639
SL004125	SL004639
SL003304	SL004639
SL003764	SL004639
SL004160	SL004639
SL004482	SL004639
SL012538	SL004639
SL005210	SL004639
SL005214	SL004639
SL000467	SL004672
SL016928	SL004672
SL000497	SL004081
SL007804	SL004081
SL000605	SL000337
SL004009	SL000337
SL003711	SL000337
SL008102	SL000337
SL005685	SL000337
SL008143	SL000337
SL004921	SL000337
SL003655	SL000337
SL004812	SL000337
SL004070	SL000337
SL000382	SL000383
SL004594	SL000383
SL001721	SL005155
SL000134	SL002644
SL004855	SL002644
SL004354	SL002644
SL010454	SL002644
SL008936	SL002644
SL000252	SL002644
SL003304	SL002644
SL003764	SL002644
SL004160	SL002644
SL005703	SL002644
SL007680	SL002644
SL003166	SL002644
SL009341	SL000450
SL001737	SL000450
SL016553	SL000450
SL000415	SL000456
SL000047	SL004676
SL003327	SL005172
SL005171	SL005172
SL000250	SL005172
SL006610	SL005172
SL000358	SL005172
SL000310	SL005172
SL010451	SL005172
SL004858	SL005172
SL000550	SL005172
SL004739	SL005172
SL000280	SL005172
SL005195	SL005172
SL003309	SL002528
SL004876	SL002528
SL003176	SL000530
SL004723	SL000530
SL004856	SL000530
SL008956	SL000530
SL010371	SL000530
SL003916	SL000530
SL000158	SL000530
SL006542	SL000530
SL007250	SL000530
SL007560	SL000530
SL010490	SL000530
SL001797	SL000530
SL010517	SL000530
SL004865	SL000530
SL004845	SL000530
SL010376	SL000530
SL006805	SL000530
SL005491	SL000530
SL007471	SL000530
SL003919	SL000530
SL007752	SL000530
SL013570	SL000530
SL010519	SL000530
SL011508	SL000530
SL004253	SL000530
SL007869	SL000530
SL003524	SL000530
SL012754	SL000530
SL007871	SL000530
SL016566	SL000530
SL016567	SL000530
SL010488	SL000530
SL003690	SL000530
SL005226	SL001721
SL003332	SL001721
SL004724	SL001721
SL000007	SL001721
SL002524	SL001721
SL000658	SL001721
SL006803	SL001721
SL000104	SL001721
SL000089	SL001721
SL004864	SL001721
SL014129	SL001721
SL002505	SL001721
SL000248	SL003041
SL003324	SL000049
SL001998	SL000049
SL000360	SL000049
SL010378	SL000590
SL006777	SL000590
SL006119	SL000590
SL005102	SL000590
SL008008	SL004326
SL010520	SL004326
SL000582	SL004326
SL014029	SL004326
SL004925	SL004326
SL005156	SL005153
SL004862	SL005153
SL010464	SL005153
SL004805	SL005153
SL003304	SL005153
SL014070	SL005153
SL002654	SL005153
SL004482	SL005153
SL005214	SL005153
SL005231	SL005153
SL003733	SL003334
SL010489	SL003334
SL007059	SL003334
SL006921	SL003334
SL009790	SL003334
SL005225	SL004591
SL008008	SL005178
SL004636	SL005178
SL000582	SL005178
SL005225	SL005178
SL011049	SL005178
SL011069	SL005178
SL005491	SL005178
SL010381	SL005178
SL003919	SL005178
SL000588	SL005178
SL004908	SL005178
SL004925	SL005178
SL002522	SL005178
SL005730	SL005178
SL016566	SL005178
SL005574	SL000528
SL003179	SL000528
SL000617	SL000528
SL004795	SL000528
SL004331	SL005206
SL004347	SL004683
SL005165	SL004683
SL005165	SL005236
SL005170	SL005236
SL005764	SL005218
SL004078	SL005220
SL000252	SL005220
SL005488	SL005220
SL000581	SL005226
SL003332	SL005226
SL000007	SL005226
SL000658	SL005226
SL006803	SL005226
SL000104	SL005226
SL000089	SL005226
SL004864	SL005226
SL005630	SL005226
SL004938	SL005226
SL004837	SL005226
SL000496	SL004589
SL002077	SL004589
SL004306	SL004589
SL004008	SL004589
SL007327	SL004589
SL004511	SL004589
SL004714	SL004589
SL004208	SL004589
SL004853	SL004589
SL000401	SL004589
SL004648	SL004589
SL003733	SL004329
SL004814	SL004329
SL005201	SL004329
SL007025	SL004329
SL009790	SL004329
SL003220	SL000312
SL005087	SL003220
SL000272	SL003220
SL000313	SL003220
SL000445	SL004752
SL004335	SL004752
SL010471	SL004338
SL012783	SL021043
SL005572	SL021043
SL000515	SL000445
SL004723	SL003176
SL004856	SL003176
SL010371	SL003176
SL003916	SL003176
SL000158	SL003176
SL007250	SL003176
SL007560	SL003176
SL010490	SL003176
SL001797	SL003176
SL003919	SL003176
SL010467	SL003176
SL013570	SL003176
SL010519	SL003176
SL011508	SL003176
SL016567	SL003176
SL004305	SL000474
SL005629	SL000474
SL000539	SL000474
SL011535	SL000474
SL004484	SL000474
SL004208	SL000474
SL006920	SL000474
SL004891	SL000474
SL002561	SL004352
SL004438	SL004352
SL006914	SL004347
SL002077	SL000496
SL000695	SL000496
SL004260	SL000496
SL010457	SL000496
SL004515	SL000496
SL004008	SL000496
SL007327	SL000496
SL004511	SL000496
SL004714	SL000496
SL004853	SL000496
SL000401	SL000496
SL004648	SL000496
SL000519	SL004356
SL000039	SL004356
SL000087	SL004356
SL000519	SL004355
SL003323	SL004355
SL004146	SL000524
SL005183	SL000524
SL001995	SL003191
SL000006	SL003191
SL000532	SL003191
SL004469	SL003191
SL010612	SL003191
SL004367	SL003191
SL008378	SL003191
SL000535	SL003191
SL004708	SL003191
SL010393	SL000581
SL000104	SL000581
SL004864	SL000581
SL005630	SL000581
SL011549	SL000581
SL003687	SL000581
SL004837	SL000581
SL004334	SL000581
SL000695	SL002077
SL004515	SL002077
SL004008	SL002077
SL007327	SL002077
SL004511	SL002077
SL004714	SL002077
SL000401	SL002077
SL004477	SL002077
SL004648	SL002077
SL000480	SL000424
SL000022	SL000424
SL003341	SL000424
SL004078	SL000020
SL006610	SL000020
SL000254	SL000020
SL000252	SL000020
SL005488	SL000020
SL000480	SL004415
SL004654	SL004625
SL000006	SL001995
SL005160	SL001995
SL000532	SL001995
SL004469	SL001995
SL000640	SL001995
SL010612	SL001995
SL004367	SL001995
SL008193	SL001995
SL008378	SL001995
SL000535	SL001995
SL004708	SL001995
SL000139	SL001995
SL008773	SL001902
SL004482	SL001902
SL005210	SL001902
SL005214	SL001902
SL000134	SL002081
SL003199	SL002081
SL004855	SL002081
SL008416	SL002081
SL010454	SL002081
SL010468	SL002081
SL007207	SL002081
SL004160	SL002081
SL004482	SL002081
SL005703	SL002081
SL007680	SL002081
SL004871	SL002081
SL008008	SL004726
SL006911	SL004726
SL010369	SL004726
SL010449	SL004726
SL010496	SL004726
SL010522	SL004726
SL004908	SL004726
SL010508	SL000427
SL012822	SL004645
SL007024	SL003800
SL005156	SL003915
SL004438	SL003915
SL004305	SL004301
SL002792	SL004301
SL005250	SL004301
SL011528	SL004301
SL002650	SL004301
SL004484	SL004301
SL009791	SL004301
SL004891	SL004301
SL004515	SL000695
SL004008	SL000695
SL007327	SL000695
SL004511	SL000695
SL004714	SL000695
SL004648	SL000695
SL005703	SL000134
SL003166	SL000134
SL004724	SL003332
SL000007	SL003332
SL000658	SL003332
SL000104	SL003332
SL000408	SL003332
SL000089	SL003332
SL004864	SL003332
SL002093	SL003332
SL007024	SL003332
SL010495	SL004649
SL000089	SL004649
SL005161	SL004649
SL000338	SL004650
SL003703	SL004650
SL016555	SL004650
SL008759	SL001897
SL013488	SL001897
SL005221	SL001897
SL004306	SL000605
SL010616	SL000605
SL010515	SL000605
SL010528	SL000605
SL004823	SL000605
SL005630	SL000605
SL011529	SL000605
SL005679	SL000605
SL011549	SL000605
SL005685	SL000605
SL005687	SL000605
SL008143	SL000605
SL004757	SL000605
SL004921	SL000605
SL006268	SL000605
SL011202	SL000605
SL003655	SL000605
SL004812	SL000605
SL004070	SL000605
SL003643	SL000605
SL013240	SL000605
SL016550	SL000605
SL014469	SL000605
SL010250	SL000605
SL003916	SL004768
SL000158	SL004768
SL007250	SL004768
SL017614	SL004768
SL007560	SL004768
SL010490	SL004768
SL008588	SL004768
SL004920	SL004768
SL010519	SL004768
SL010369	SL008008
SL010520	SL008008
SL010496	SL008008
SL010508	SL008008
SL000588	SL008008
SL000587	SL008008
SL004908	SL008008
SL004939	SL000320
SL000250	SL000320
SL000338	SL000320
SL005158	SL000320
SL003703	SL000320
SL004492	SL000320
SL000316	SL000320
SL000321	SL000320
SL000280	SL000320
SL003930	SL000320
SL003717	SL000320
SL010371	SL006911
SL004868	SL006911
SL000587	SL006911
SL004009	SL000409
SL004306	SL000409
SL006918	SL000409
SL002792	SL000409
SL004781	SL000409
SL010500	SL000409
SL010513	SL000409
SL010515	SL000409
SL011528	SL000409
SL005629	SL000409
SL002650	SL000409
SL004484	SL000409
SL006920	SL000409
SL004891	SL000409
SL000553	SL000409
SL010499	SL006914
SL007747	SL006914
SL004856	SL004723
SL005193	SL004723
SL000344	SL004723
SL000158	SL004723
SL007250	SL004723
SL007560	SL004723
SL004636	SL004723
SL010517	SL004723
SL006805	SL004723
SL000566	SL004723
SL008588	SL004723
SL007471	SL004723
SL010467	SL004723
SL004920	SL004723
SL007752	SL004723
SL013570	SL004723
SL010519	SL004723
SL011508	SL004723
SL004253	SL004723
SL007869	SL004723
SL012754	SL004723
SL016553	SL004723
SL016567	SL004723
SL007295	SL004723
SL003690	SL004723
SL010467	SL004718
SL006992	SL004724
SL011510	SL004724
SL014093	SL004724
SL013754	SL004724
SL014129	SL004724
SL011510	SL000554
SL002792	SL004009
SL004781	SL004009
SL010500	SL004009
SL006917	SL004009
SL010515	SL004009
SL011533	SL004009
SL005687	SL004009
SL003658	SL004009
SL002650	SL004009
SL005358	SL004009
SL011202	SL004009
SL006088	SL004009
SL000553	SL004009
SL010516	SL004009
SL010250	SL004009
SL005675	SL006922
SL014289	SL006923
SL016548	SL006923
SL005256	SL004305
SL011528	SL004305
SL000539	SL004305
SL011535	SL004305
SL004484	SL004305
SL004891	SL004305
SL005256	SL004306
SL010374	SL004306
SL010492	SL004306
SL004781	SL004306
SL010616	SL004306
SL010521	SL004306
SL010515	SL004306
SL010528	SL004306
SL004823	SL004306
SL005679	SL004306
SL011549	SL004306
SL008143	SL004306
SL004757	SL004306
SL012188	SL004306
SL005588	SL004306
SL011211	SL004306
SL006268	SL004306
SL000539	SL004306
SL011535	SL004306
SL003655	SL004306
SL004812	SL004306
SL004940	SL004306
SL004484	SL004306
SL006998	SL004306
SL004070	SL004306
SL003643	SL004306
SL004208	SL004306
SL006920	SL004306
SL004853	SL004306
SL014469	SL004306
SL004891	SL004306
SL007022	SL006372
SL003674	SL006372
SL000325	SL000248
SL000601	SL000248
SL000588	SL004330
SL003302	SL003329
SL003169	SL003329
SL003301	SL003329
SL002704	SL002621
SL003770	SL002621
SL000357	SL002621
SL004400	SL002621
SL003301	SL003302
SL005165	SL000131
SL005170	SL000131
SL005205	SL000131
SL004687	SL000131
SL004331	SL000131
SL008378	SL000131
SL005160	SL000006
SL000532	SL000006
SL004367	SL000006
SL000535	SL000006
SL004708	SL000006
SL004669	SL004668
SL000277	SL004668
SL000277	SL004669
SL003930	SL000396
SL001973	SL000396
SL003653	SL000396
SL010384	SL000396
SL003440	SL000398
SL004805	SL005156
SL014070	SL005156
SL002654	SL005156
SL008414	SL005156
SL007547	SL005156
SL005231	SL005156
SL004871	SL005156
SL000658	SL000007
SL000104	SL000007
SL000408	SL000007
SL000089	SL000007
SL004864	SL000007
SL000517	SL000007
SL000344	SL003327
SL003440	SL003327
SL010375	SL005168
SL010378	SL005168
SL003994	SL005168
SL004742	SL005168
SL005208	SL005168
SL010372	SL004067
SL010451	SL005171
SL000550	SL005171
SL005202	SL005171
SL004739	SL005171
SL005195	SL005171
SL000428	SL000506
SL000254	SL003192
SL000322	SL003192
SL000247	SL003192
SL014069	SL003192
SL000316	SL003192
SL012457	SL003192
SL004296	SL003192
SL004716	SL003192
SL004363	SL004362
SL002508	SL001720
SL002706	SL001720
SL001802	SL000136
SL005194	SL000136
SL010393	SL000136
SL000342	SL000136
SL004919	SL000136
SL005630	SL000136
SL006919	SL000136
SL011529	SL000136
SL011630	SL000136
SL008157	SL000136
SL005685	SL000136
SL005687	SL000136
SL010927	SL000136
SL011709	SL000136
SL004921	SL000136
SL007003	SL000136
SL004334	SL000136
SL014308	SL000136
SL004348	SL000136
SL014071	SL000136
SL010830	SL000136
SL004866	SL000136
SL009792	SL000136
SL016550	SL000136
SL013928	SL000136
SL003304	SL004078
SL004354	SL004855
SL008416	SL004855
SL010454	SL004855
SL010465	SL004855
SL008936	SL004855
SL000124	SL004855
SL004154	SL004855
SL003764	SL004855
SL014092	SL004855
SL004160	SL004855
SL005703	SL004855
SL007680	SL004855
SL003166	SL004855
SL005193	SL004856
SL000344	SL004856
SL010371	SL004856
SL003916	SL004856
SL000158	SL004856
SL007250	SL004856
SL017614	SL004856
SL007560	SL004856
SL010490	SL004856
SL006805	SL004856
SL007752	SL004856
SL013570	SL004856
SL010519	SL004856
SL011508	SL004856
SL003173	SL003169
SL017610	SL003169
SL003326	SL003169
SL003172	SL003169
SL000535	SL005160
SL005170	SL005165
SL005205	SL005165
SL004687	SL005165
SL004938	SL005165
SL017610	SL003173
SL003172	SL003173
SL003326	SL017610
SL003172	SL017610
SL000104	SL005256
SL011528	SL005256
SL002093	SL005256
SL011535	SL005256
SL004484	SL005256
SL004208	SL005256
SL004891	SL005256
SL005205	SL005170
SL004687	SL005170
SL014093	SL005170
SL003728	SL005170
SL005194	SL001802
SL010393	SL001802
SL000342	SL001802
SL004919	SL001802
SL005630	SL001802
SL006919	SL001802
SL011529	SL001802
SL008157	SL001802
SL005685	SL001802
SL005687	SL001802
SL010927	SL001802
SL011709	SL001802
SL004921	SL001802
SL004837	SL001802
SL007003	SL001802
SL004334	SL001802
SL004348	SL001802
SL010830	SL001802
SL004866	SL001802
SL016550	SL001802
SL013928	SL001802
SL004862	SL001997
SL002654	SL001997
SL004482	SL001997
SL005214	SL001997
SL003647	SL001997
SL005493	SL004861
SL004331	SL004875
SL004689	SL005193
SL008956	SL005193
SL000344	SL005193
SL003916	SL005193
SL000158	SL005193
SL007250	SL005193
SL010490	SL005193
SL004636	SL005193
SL006805	SL005193
SL003919	SL005193
SL013570	SL005193
SL010519	SL005193
SL005361	SL005193
SL007871	SL005193
SL005212	SL005193
SL016566	SL005193
SL016567	SL005193
SL010488	SL005193
SL014470	SL005193
SL007295	SL005193
SL000342	SL005194
SL004919	SL005194
SL008157	SL005194
SL005687	SL005194
SL010927	SL005194
SL011709	SL005194
SL007003	SL005194
SL004334	SL005194
SL004348	SL005194
SL004866	SL005194
SL009792	SL005194
SL016550	SL005194
SL004687	SL005205
SL004492	SL005205
SL004938	SL005205
SL010464	SL004862
SL004805	SL004862
SL014070	SL004862
SL002654	SL004862
SL004482	SL004862
SL005214	SL004862
SL005231	SL004862
SL000338	SL004939
SL005158	SL004939
SL000633	SL004939
SL010510	SL004939
SL000565	SL004939
SL003703	SL004939
SL004120	SL004939
SL004492	SL004939
SL000321	SL004939
SL003930	SL004939
SL008933	SL004939
SL002803	SL004939
SL005222	SL004939
SL006675	SL004939
SL010468	SL005059
SL010469	SL005059
SL009324	SL005059
SL000124	SL005059
SL002654	SL005059
SL004556	SL005059
SL008414	SL005059
SL005703	SL005059
SL008728	SL005059
SL005230	SL005059
SL004871	SL005059
SL004938	SL004687
SL011772	SL004687
SL000338	SL000250
SL005158	SL000250
SL004858	SL000250
SL000272	SL000250
SL005488	SL000250
SL003717	SL000250
SL005158	SL000338
SL000633	SL000338
SL003703	SL000338
SL004492	SL000338
SL000321	SL000338
SL000280	SL000338
SL003930	SL000338
SL008933	SL000338
SL002803	SL000338
SL006629	SL000338
SL010510	SL005158
SL003703	SL005158
SL000271	SL005158
SL004120	SL005158
SL004492	SL005158
SL018548	SL005158
SL008865	SL005158
SL000321	SL005158
SL004605	SL005158
SL008177	SL005158
SL003930	SL005158
SL002803	SL005158
SL011404	SL005158
SL003717	SL005158
SL006675	SL005158
SL000342	SL000420
SL004919	SL000420
SL004334	SL000420
SL010830	SL000420
SL004866	SL000420
SL009988	SL000428
SL001766	SL000428
SL000306	SL004271
SL008190	SL004271
SL000124	SL004354
SL006713	SL004354
SL005703	SL004354
SL000249	SL001795
SL009341	SL001795
SL007869	SL001795
SL003172	SL003326
SL003183	SL003326
SL003323	SL000519
SL000087	SL000519
SL010390	SL008416
SL010454	SL008416
SL007207	SL008416
SL000124	SL008416
SL004154	SL008416
SL014092	SL008416
SL005572	SL008416
SL004160	SL008416
SL006528	SL008416
SL007680	SL008416
SL008574	SL008416
SL000382	SL000164
SL004469	SL000532
SL000535	SL000532
SL004708	SL000532
SL003770	SL002704
SL004400	SL002704
SL010457	SL004260
SL004008	SL004260
SL007327	SL004260
SL004714	SL004260
SL010388	SL000603
SL010510	SL000633
SL004120	SL000633
SL004492	SL000633
SL003930	SL000633
SL002803	SL000633
SL000142	SL000633
SL006675	SL000633
SL004466	SL000437
SL000836	SL000437
SL011049	SL004689
SL000566	SL004689
SL007471	SL004689
SL013570	SL004689
SL004253	SL004689
SL010488	SL004689
SL007295	SL004689
SL014069	SL004327
SL003189	SL004327
SL003309	SL000325
SL000414	SL000325
SL000051	SL000325
SL000022	SL000325
SL003341	SL000325
SL006108	SL000468
SL003770	SL000478
SL000357	SL000478
SL004400	SL000478
SL000306	SL001718
SL002654	SL002508
SL000414	SL003309
SL000051	SL003309
SL000360	SL003324
SL003710	SL002640
SL008709	SL005233
SL000306	SL004750
SL007059	SL003733
SL004814	SL003733
SL005201	SL003733
SL007025	SL003733
SL004849	SL003733
SL005174	SL003733
SL009790	SL003733
SL006803	SL002524
SL007024	SL002524
SL003183	SL001800
SL014270	SL001800
SL014208	SL001800
SL005230	SL001800
SL008421	SL004626
SL004331	SL004626
SL000449	SL004626
SL005184	SL004626
SL008611	SL010368
SL008380	SL010368
SL017188	SL007261
SL003785	SL007261
SL011533	SL007261
SL005687	SL007261
SL010927	SL007261
SL000247	SL007261
SL003658	SL007261
SL002650	SL007261
SL008331	SL007261
SL005034	SL007261
SL011202	SL007261
SL009791	SL007261
SL004296	SL007261
SL005694	SL007261
SL010250	SL007261
SL002705	SL004469
SL004708	SL004469
SL010490	SL008956
SL001797	SL008956
SL010517	SL008956
SL003919	SL008956
SL011532	SL008956
SL010519	SL008956
SL005361	SL008956
SL005201	SL008956
SL004849	SL008956
SL005174	SL008956
SL005212	SL008956
SL016566	SL008956
SL016555	SL008956
SL010488	SL008956
SL004671	SL008956
SL009790	SL008956
SL008380	SL008611
SL004868	SL008421
SL006374	SL008421
SL000449	SL008421
SL004340	SL008421
SL005493	SL008421
SL008590	SL008421
SL004858	SL006610
SL000550	SL006610
SL010349	SL006610
SL010348	SL006610
SL000252	SL006610
SL005488	SL006610
SL004739	SL006610
SL000280	SL006610
SL005195	SL006610
SL010508	SL010369
SL004118	SL009213
SL000247	SL009213
SL004296	SL009213
SL004914	SL009213
SL003916	SL000344
SL000158	SL000344
SL007250	SL000344
SL017614	SL000344
SL004636	SL000344
SL000566	SL000344
SL007752	SL000344
SL004908	SL000344
